seekid,id,name,price,brand,contenttype,style,image_url
b3224ec1-90f3-4fe3-9086-6e43f4e3c4aa,86,床头LSB0518,14350,赖氏,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/b3224ec1-90f3-4fe3-9086-6e43f4e3c4aa/iso.jpg
b4d65f90-2687-4783-9461-45f573007a0e,87,床MJ01-03A,0,法诗兰,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/b4d65f90-2687-4783-9461-45f573007a0e/iso.jpg
bba10021-88a1-4c35-925f-facc7fe4e9d4,88,床EC0-C1-4-15,0,意风,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/bba10021-88a1-4c35-925f-facc7fe4e9d4/iso.jpg
be48df32-ee1a-419c-9054-f21203ef16a1,89,床头WJB0218,13210,赖氏,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/be48df32-ee1a-419c-9054-f21203ef16a1/iso.jpg
bdf37d1f-a51a-4d7f-bd9a-da8ca34582e6,90,洋花箱式床,36110,世代相传,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/bdf37d1f-a51a-4d7f-bd9a-da8ca34582e6/iso.jpg
bf0074c2-671e-4cb9-8b77-06ee8c60df17,91,床A202L,0,荣麟,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/bf0074c2-671e-4cb9-8b77-06ee8c60df17/iso.jpg
c1e1407a-e3b0-4587-9539-d542e91fb32d,92,非同_蜜雪儿,12800,非同,bed/king-size bed,简约现代,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/c1e1407a-e3b0-4587-9539-d542e91fb32d/iso.jpg
c41fbf1f-8e96-4209-bc90-ae491617255e,93,双人床KT-Y15-30,11800,阳光夏威夷,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/c41fbf1f-8e96-4209-bc90-ae491617255e/iso.jpg
e5f554ad-35d7-4209-960e-47f33fc6b546,94,901床,17580,英伦华庄·简欧,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/e5f554ad-35d7-4209-960e-47f33fc6b546/iso.jpg
e8228b00-f690-45d6-93c9-cc5bfcaaa22c,95,1.8m床1203,9600,绿之岛,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/e8228b00-f690-45d6-93c9-cc5bfcaaa22c/iso.jpg
eaeaa874-5e95-4968-82b5-ae226bfbfc3c,96,802-B床,11780,英伦华庄,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/eaeaa874-5e95-4968-82b5-ae226bfbfc3c/iso.jpg
f1191a02-e267-46b4-b323-05e3fecee47e,97,漫趣_单床,4821,漫趣,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/f1191a02-e267-46b4-b323-05e3fecee47e/iso.jpg
f1f19600-de81-45a4-8526-a56c62b28dac,98,床809kb,25800,美郡,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/f1f19600-de81-45a4-8526-a56c62b28dac/iso.jpg
f31050a4-da52-461e-8bf3-e3aeac8f7748,99,K501-1,27778,罗曼迪卡,bed/king-size bed,美式乡村,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/f31050a4-da52-461e-8bf3-e3aeac8f7748/iso.jpg
f64c6ebc-d24a-45c4-bc9e-861b8c9eb601,100,床,29680,法诗兰,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/f64c6ebc-d24a-45c4-bc9e-861b8c9eb601/iso.jpg
f7a2c7ff-e426-4aea-8718-d5a1c00a7582,101,床 811,0,法诗兰,bed/king-size bed,简欧,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/f7a2c7ff-e426-4aea-8718-d5a1c00a7582/iso.jpg
fa43a277-44f7-462c-a0f2-4b17323bbdfe,102,W802_美郡,16050,美郡,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/fa43a277-44f7-462c-a0f2-4b17323bbdfe/iso.jpg
045695bd-558d-4697-8c7f-516c4d99f282,103,床BP306L-2,24938,杜莎,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/045695bd-558d-4697-8c7f-516c4d99f282/iso.jpg
05242c96-2d43-474b-a34e-7836f8ab6216,104,亚美特_BM1204+170 5床,8041,亚美特,bed/king-size bed,简欧,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/05242c96-2d43-474b-a34e-7836f8ab6216/iso.jpg
0b7de6db-a8bb-4d22-a27a-73620af46c63,105,床907A,0,豪典工坊,bed/king-size bed,现代中式,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0b7de6db-a8bb-4d22-a27a-73620af46c63/iso.jpg
0d087c72-7470-4bec-bae7-af7f499fbdf5,106,床BP106L-3,28123,杜莎,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0d087c72-7470-4bec-bae7-af7f499fbdf5/iso.jpg
0d98b0cc-f765-47b2-8008-60296ab1541e,107,床HB106,22470,华意空间,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0d98b0cc-f765-47b2-8008-60296ab1541e/iso.jpg
0f965c0b-0955-4ecd-a40d-1a6238fa6246,108,亚美特_BM1201+17  4床,5708,亚美特,bed/king-size bed,简欧,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/0f965c0b-0955-4ecd-a40d-1a6238fa6246/iso.jpg
11293502-fba2-45bc-91c6-534ef578b89e,109,漫趣_滑梯床加布艺,16453,漫趣,bed/king-size bed,其他,http://juran-prod-assets.s3.cn-north-1.amazonaws.com.cn/i/11293502-fba2-45bc-91c6-534ef578b89e/iso.jpg
